"type","modified","language","rightsHolder","accessRights","bibliographicCitation","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","dynamicProperties","occurrenceID","catalogNumber","occurrenceRemarks","recordedBy","individualCount","sex","lifeStage","preparations","previousIdentifications","associatedReferences","associatedTaxa","samplingProtocol","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","habitat","fieldNumber","locationID","country","countryCode","stateProvince","county","locality","minimumElevationInMeters","maximumElevationInMeters","verbatimDepth","minimumDepthInMeters","maximumDepthInMeters","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","identificationID","identifiedBy","dateIdentified","identificationQualifier","typeStatus","taxonID","scientificNameID","acceptedNameUsageID","originalNameUsageID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","globalUniqueIdentifier","scientificNameAuthorship","vernacularName","taxonomicStatus","nomenclaturalStatus","notes"
"Evento",13/11/2007 00:00:00,"es","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","Libre acceso","Bye-Boettler R., A. Aedo-Gajardo y P. Faba-Zuleta. 2005. Listado florístico y etnobotánico de las plantas medicinales de los huicholes del río Chapalagana, Jalisco y del Nayar, Nayarit. Instituto de Biología. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto AE001. México, D. F.",20,5250,"db28c10684c3759e31260cad7d9f66db","IBUNAM","MEXU","Listado florístico y etnobotánico de las plantas medicinales de los huicholes del río Chapalagana, Jalisco y del Nayar, Nayarit","Instituto de Biología, Universidad Nacional Autónoma de México","Colectado","TipoVegetacion / Bosque tropical caducifolio; Patio y/o huerto familiar - Tipo Vegetacion - Rzedowski, 1981; Vegetación antropogénica
Características de Plantas / Color hoja: Hojas verde olivo
Características de Plantas / ColorFlor: Flor blanca
Características de Plantas / Tamaño: 41 centímetros de alto
Fenología / Flor
Grado de manejo / Cultivada
Vegetación antropogénica / Patio y/o huerto familiar","urn:catalog:IBUNAM:MEXU:1036617","1036617","NO APLICA","A. Aedo; P. Faba",1,"NO APLICA","NO APLICA","Herborizado",,,,,"2002-07-31",30/12/1899 12:10:00,"212","212","2002","7","31","Huerto familiar","022",24,"MEXICO","MX","NAYARIT","DEL NAYAR","Carretones de cerrito",346.00,,,,,"21 47 5.2 N","104 48 1.2 W","grados minutos segundos",21.78,-104.80,,,"","","","Geoposicionador, GPS, ","","",2,"A. Aedo; P. Faba","2002-10-18","verificación","NO APLICA","21193",21193,,,"Artemisia mexicana","Artemisia ludoviciana","Artemisia",,"Cronquist, 1981",,"1826","Plantae; Magnoliophyta; Magnoliopsida; Asterales; Asteraceae; Artemisia","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia","","mexicana","","especie","MEXU:26","Willd. ex Spreng., 1826","Estafiate","",,""
"Evento",13/11/2007 00:00:00,"es","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","Libre acceso","Bye-Boettler R., A. Aedo-Gajardo y P. Faba-Zuleta. 2005. Listado florístico y etnobotánico de las plantas medicinales de los huicholes del río Chapalagana, Jalisco y del Nayar, Nayarit. Instituto de Biología. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto AE001. México, D. F.",20,5250,"2503e457ff3ed04314d553ee2a91fff0","IBUNAM","MEXU","Listado florístico y etnobotánico de las plantas medicinales de los huicholes del río Chapalagana, Jalisco y del Nayar, Nayarit","Instituto de Biología, Universidad Nacional Autónoma de México","Colectado","TipoVegetacion / Bosque tropical caducifolio; Ruderal - Tipo Vegetacion - Rzedowski, 1981; Vegetación antropogénica
Características de Plantas / Color hoja: Hojas verde oscuras
Características de Plantas / ColorFlor: Flor amarilla
Características de Plantas / Tamaño: 27 centímetros
Fenología / Fruto
Grado de manejo / Tolerada
Vegetación antropogénica / Ruderal","urn:catalog:IBUNAM:MEXU:1036615","1036615","NO APLICA","A. Aedo; P. Faba",1,"NO APLICA","NO APLICA","Herborizado",,,,,"2002-07-31",30/12/1899 08:51:00,"212","212","2002","7","31","Márgenes de camino de tierra","020",6,"MEXICO","MX","NAYARIT","DEL NAYAR","La cortina",306.00,,,,,"21 49 51.4 N","104 47 58.1 W","grados minutos segundos",21.83,-104.79,,,"","","","Geoposicionador, GPS, ","","",9,"A. Aedo; P. Faba","2002-08-28","Verificación","NO APLICA","21236",21236,,,"Galinsoga quinqueradiata","Galinsoga parviflora","Galinsoga",,"Cronquist, 1981",,"1798","Plantae; Magnoliophyta; Magnoliopsida; Asterales; Asteraceae; Galinsoga","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Galinsoga","","quinqueradiata","","especie","MEXU:22","Ruiz & Pav., 1798","Periquillo","",,""
"Evento",13/11/2007 00:00:00,"es","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","Libre acceso","Bye-Boettler R., A. Aedo-Gajardo y P. Faba-Zuleta. 2005. Listado florístico y etnobotánico de las plantas medicinales de los huicholes del río Chapalagana, Jalisco y del Nayar, Nayarit. Instituto de Biología. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto AE001. México, D. F.",20,5250,"62d67a11f0189419e35cdb20a0961097","IBUNAM","MEXU","Listado florístico y etnobotánico de las plantas medicinales de los huicholes del río Chapalagana, Jalisco y del Nayar, Nayarit","Instituto de Biología, Universidad Nacional Autónoma de México","Colectado","TipoVegetacion / Bosque tropical caducifolio; Patio y/o huerto familiar - Tipo Vegetacion - Rzedowski, 1981; Vegetación antropogénica
Características de Plantas / Tamaño: 45 centímetros
Grado de manejo / Cultivada
Vegetación antropogénica / Patio y/o huerto familiar","urn:catalog:IBUNAM:MEXU:108","108","NO APLICA","A. Aedo; P. Faba",1,"NO APLICA","NO APLICA","Herborizado",,,,,"2002-08-17",30/12/1899 08:11:00,"229","229","2002","8","17","Margen de campo de cultivo","108",12,"MEXICO","MX","NAYARIT","TEPIC","Colorado de la Mora",308.00,,,,,"21 45 14.8 N","104 40 32.6 W","grados minutos segundos",21.75,-104.67,,,"","","","Geoposicionador, GPS, ","","",12,"A. Aedo; P. Faba","2002-09-02","Confirmar","NO APLICA","21193",21193,,,"Artemisia mexicana","Artemisia ludoviciana","Artemisia",,"Cronquist, 1981",,"1826","Plantae; Magnoliophyta; Magnoliopsida; Asterales; Asteraceae; Artemisia","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia","","mexicana","","especie","MEXU:116","Willd. ex Spreng., 1826","Estafiate","",,""
"Evento",13/11/2007 00:00:00,"es","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","Libre acceso","Bye-Boettler R., A. Aedo-Gajardo y P. Faba-Zuleta. 2005. Listado florístico y etnobotánico de las plantas medicinales de los huicholes del río Chapalagana, Jalisco y del Nayar, Nayarit. Instituto de Biología. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto AE001. México, D. F.",20,5250,"dd43d400c9fd4dd4ba69c084c6ba59fe","IBUNAM","MEXU","Listado florístico y etnobotánico de las plantas medicinales de los huicholes del río Chapalagana, Jalisco y del Nayar, Nayarit","Instituto de Biología, Universidad Nacional Autónoma de México","Colectado","TipoVegetacion / Bosque tropical subcaducifolio; Arvense - Tipo Vegetacion - Rzedowski, 1981; Vegetación antropogénica
Características de Plantas / Color hoja: Hojas verdes
Características de Plantas / ColorFlor: Flor blanca
Características de Plantas / Tamaño: 75 centímetros
Grado de manejo / Fomentada
Grado de manejo / Protegida
Vegetación antropogénica / Arvense","urn:catalog:IBUNAM:MEXU:1039743","1039743","NO APLICA","S. Carrillo",1,"NO APLICA","NO APLICA","Herborizado",,,,,"2002-08-19",30/12/1899 14:53:00,"231","231","2002","8","19","Huerto familiar","155",40,"MEXICO","MX","NAYARIT","TEPIC","Zitakua",989.00,,,,,"21 31 2.7 N","104 52 53.3 W","grados minutos segundos",21.51,-104.88,,,"","","","Geoposicionador, GPS, ","","",18,"S. Carrillo","2002-09-03","Verificación","NO APLICA","21237",21237,,,"Sonchus oleraceus","Sonchus oleraceus","Sonchus",,"Cronquist, 1981",,"1753","Plantae; Magnoliophyta; Magnoliopsida; Asterales; Asteraceae; Sonchus","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Sonchus","","oleraceus","","especie","MEXU:128","L., 1753","Diente de león","Válido",,""
"Evento",13/11/2007 00:00:00,"es","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","Libre acceso","Bye-Boettler R., A. Aedo-Gajardo y P. Faba-Zuleta. 2005. Listado florístico y etnobotánico de las plantas medicinales de los huicholes del río Chapalagana, Jalisco y del Nayar, Nayarit. Instituto de Biología. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto AE001. México, D. F.",20,5250,"d7c0ac6590681418cd54d9939892fb79","IBUNAM","MEXU","Listado florístico y etnobotánico de las plantas medicinales de los huicholes del río Chapalagana, Jalisco y del Nayar, Nayarit","Instituto de Biología, Universidad Nacional Autónoma de México","Colectado","TipoVegetacion / Bosque tropical caducifolio; Arvense; Ruderal - Tipo Vegetacion - Rzedowski, 1981; Vegetación antropogénica; Vegetación antropogénica
Características de Plantas / Color hoja: Hojas verdes
Características de Plantas / ColorFlor: Flor amarilla
Características de Plantas / Tamaño: 2.29 metros
Fenología / Flor
Grado de manejo / Tolerada
Vegetación antropogénica / Arvense
Vegetación antropogénica / Ruderal","urn:catalog:IBUNAM:MEXU:1036596","1036596","NO APLICA","A. Aedo; P. Faba",1,"NO APLICA","NO APLICA","Herborizado",,,,,"2002-07-28",30/12/1899 15:05:00,"209","209","2002","7","28","Alrededores de campo de cultivo","001",6,"MEXICO","MX","NAYARIT","DEL NAYAR","La cortina",258.00,,,,,"21 50 4.9 N","104 47 46.5 W","grados minutos segundos",21.83,-104.79,,,"","","","Geoposicionador, GPS","","",19,"A. Aedo; P. Faba","2002-09-03","Verificación","NO APLICA","21238",21238,,,"Tagetes lucida","Tagetes lucida","Tagetes",,"Cronquist, 1981",,"1794","Plantae; Magnoliophyta; Magnoliopsida; Asterales; Asteraceae; Tagetes","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Tagetes","","lucida","","especie","MEXU:1","Cav., 1794","Periquillo","Válido",,""
"Evento",13/11/2007 00:00:00,"es","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","Libre acceso","Bye-Boettler R., A. Aedo-Gajardo y P. Faba-Zuleta. 2005. Listado florístico y etnobotánico de las plantas medicinales de los huicholes del río Chapalagana, Jalisco y del Nayar, Nayarit. Instituto de Biología. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto AE001. México, D. F.",20,5250,"7fc5e8c2d59db898cc7f4834238bf1b5","IBUNAM","MEXU","Listado florístico y etnobotánico de las plantas medicinales de los huicholes del río Chapalagana, Jalisco y del Nayar, Nayarit","Instituto de Biología, Universidad Nacional Autónoma de México","Colectado","TipoVegetacion / Bosque tropical caducifolio; Patio y/o huerto familiar - Tipo Vegetacion - Rzedowski, 1981; Vegetación antropogénica
Características de Plantas / Color hoja: Hojas verde oscuro
Características de Plantas / Tamaño: 24.3 centímetros
Fenología / Vegetativo
Grado de manejo / Cultivada
Vegetación antropogénica / Patio y/o huerto familiar","urn:catalog:IBUNAM:MEXU:1036637","1036637","NO APLICA","A. Aedo; P. Faba",1,"NO APLICA","NO APLICA","Herborizado",,,,,"2002-08-04",30/12/1899 15:42:00,"216","216","2002","8","4","Huerto familiar","042",12,"MEXICO","MX","NAYARIT","TEPIC","Colorado de la Mora",386.00,,,,,"21 43 8.7 N","104 40 11.8 W","grados minutos segundos",21.71,-104.66,,,"","","","Geoposicionador, GPS, ","","",22,"A. Aedo; P. Faba","2002-09-03","Verificación","NO APLICA","21239",21239,,,"Tagetes patula","Tagetes erecta","Tagetes",,"Cronquist, 1981",,"1753","Plantae; Magnoliophyta; Magnoliopsida; Asterales; Asteraceae; Tagetes","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Tagetes","","patula","","especie","MEXU:47","L., 1753","Cempoal","",,""
"Evento",13/11/2007 00:00:00,"es","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","Libre acceso","Bye-Boettler R., A. Aedo-Gajardo y P. Faba-Zuleta. 2005. Listado florístico y etnobotánico de las plantas medicinales de los huicholes del río Chapalagana, Jalisco y del Nayar, Nayarit. Instituto de Biología. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto AE001. México, D. F.",20,5250,"374eec28bfbd6d54cc405908bb0fd5dc","IBUNAM","MEXU","Listado florístico y etnobotánico de las plantas medicinales de los huicholes del río Chapalagana, Jalisco y del Nayar, Nayarit","Instituto de Biología, Universidad Nacional Autónoma de México","Colectado","TipoVegetacion / Bosque tropical caducifolio; Patio y/o huerto familiar - Tipo Vegetacion - Rzedowski, 1981; Vegetación antropogénica
Características de Plantas / Color hoja: Hojas verde oscuro
Características de Plantas / Tamaño: 14.7 centímetros
Fenología / Vegetativo
Grado de manejo / Cultivada
Vegetación antropogénica / Patio y/o huerto familiar","urn:catalog:IBUNAM:MEXU:51","51","NO APLICA","A. Aedo; P. Faba",1,"NO APLICA","NO APLICA","Ejemplar vivo",,,,,"2002-08-06",30/12/1899 14:03:00,"218","218","2002","8","6","Huerto familiar","051",32,"MEXICO","MX","NAYARIT","TEPIC","Alrededores de Colorado de la Mora",310.00,,,,,"21 44 58.6 N","104 41 56.2 W","grados minutos segundos",21.74,-104.69,,,"","","","Geoposicionador, GPS, ","","",23,"A. Aedo; P. Faba","2002-09-04","Verificación","NO APLICA","21239",21239,,,"Tagetes patula","Tagetes erecta","Tagetes",,"Cronquist, 1981",,"1753","Plantae; Magnoliophyta; Magnoliopsida; Asterales; Asteraceae; Tagetes","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Tagetes","","patula","","especie","MEXU:56","L., 1753","Cempoal","",,""
"Evento",13/11/2007 00:00:00,"es","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","Libre acceso","Bye-Boettler R., A. Aedo-Gajardo y P. Faba-Zuleta. 2005. Listado florístico y etnobotánico de las plantas medicinales de los huicholes del río Chapalagana, Jalisco y del Nayar, Nayarit. Instituto de Biología. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto AE001. México, D. F.",20,5250,"401c9c18345bd4561ae58a750a96f13f","IBUNAM","MEXU","Listado florístico y etnobotánico de las plantas medicinales de los huicholes del río Chapalagana, Jalisco y del Nayar, Nayarit","Instituto de Biología, Universidad Nacional Autónoma de México","Colectado","TipoVegetacion / Bosque tropical caducifolio; Patio y/o huerto familiar - Tipo Vegetacion - Rzedowski, 1981; Vegetación antropogénica
Características de Plantas / Color hoja: Hojas y tallo verde
Características de Plantas / ColorFlor: Flor blanca
Fenología / Flor
Grado de manejo / Fomentada
Vegetación antropogénica / Patio y/o huerto familiar","urn:catalog:IBUNAM:MEXU:1036598","1036598","NO APLICA","A. Aedo; P. Faba",1,"NO APLICA","NO APLICA","Herborizado",,,,,"2002-07-28",30/12/1899 17:34:00,"209","209","2002","7","28","Alrededores de campo de cultivo","003",6,"MEXICO","MX","NAYARIT","DEL NAYAR","La cortina",310.00,,,,,"21 50 8.4 N","104 47 42.9 W","grados minutos segundos",21.83,-104.79,,,"","","","Geoposicionador, GPS, ","","",24,"A. Aedo; P. Faba","2002-09-04","Verificación","NO APLICA","21240",21240,,,"Tanacetum parthenium","Tanacetum parthenium","Tanacetum",,"Cronquist, 1981",,"1844","Plantae; Magnoliophyta; Magnoliopsida; Asterales; Asteraceae; Tanacetum","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Tanacetum","","parthenium","","especie","MEXU:3","(L.) Sch.Bip., 1844","Altamisa","Válido",,""
"Evento",13/11/2007 00:00:00,"es","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","Libre acceso","Bye-Boettler R., A. Aedo-Gajardo y P. Faba-Zuleta. 2005. Listado florístico y etnobotánico de las plantas medicinales de los huicholes del río Chapalagana, Jalisco y del Nayar, Nayarit. Instituto de Biología. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto AE001. México, D. F.",20,5250,"8ebc1bc090dcf09b2091462471c42cae","IBUNAM","MEXU","Listado florístico y etnobotánico de las plantas medicinales de los huicholes del río Chapalagana, Jalisco y del Nayar, Nayarit","Instituto de Biología, Universidad Nacional Autónoma de México","Colectado","TipoVegetacion / Bosque tropical caducifolio; Terreno de cultivo - Tipo Vegetacion - Rzedowski, 1981; Vegetación antropogénica
Características de Plantas / Color hoja: Hojas verde claro
Características de Plantas / ColorFlor: Flor blanca
Características de Plantas / Tamaño: 73.5 centímetros
Fenología / Flor
Grado de manejo / Cultivada
Vegetación antropogénica / Terreno de cultivo","urn:catalog:IBUNAM:MEXU:1036599","1036599","NO APLICA","C. Ríos",1,"NO APLICA","NO APLICA","Herborizado",,,,,"2002-07-28",30/12/1899 17:34:00,"209","209","2002","7","28","Alrededores de campo de cultivo","004",8,"MEXICO","MX","NAYARIT","DEL NAYAR","El Ciruelar",246.00,,,,,"21 51 25.6 N","104 46 17.8 W","grados minutos segundos",21.85,-104.77,,,"","","","Geoposicionador, GPS, ","","",25,"C. Ríos","2002-09-04","Verificación","NO APLICA","21240",21240,,,"Tanacetum parthenium","Tanacetum parthenium","Tanacetum",,"Cronquist, 1981",,"1844","Plantae; Magnoliophyta; Magnoliopsida; Asterales; Asteraceae; Tanacetum","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Tanacetum","","parthenium","","especie","MEXU:5","(L.) Sch.Bip., 1844","Altamisa","Válido",,""
"Evento",13/11/2007 00:00:00,"es","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","Libre acceso","Bye-Boettler R., A. Aedo-Gajardo y P. Faba-Zuleta. 2005. Listado florístico y etnobotánico de las plantas medicinales de los huicholes del río Chapalagana, Jalisco y del Nayar, Nayarit. Instituto de Biología. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto AE001. México, D. F.",20,5250,"e1474cfbf64cd8276c1065950ac03bd7","IBUNAM","MEXU","Listado florístico y etnobotánico de las plantas medicinales de los huicholes del río Chapalagana, Jalisco y del Nayar, Nayarit","Instituto de Biología, Universidad Nacional Autónoma de México","Colectado","TipoVegetacion / Matorral xerófilo; Bosque o monte - Tipo Vegetacion - Rzedowski, 1981; Vegetación natural
Características de Plantas / Color hoja: Hojas verde claro
Características de Plantas / ColorFlor: Flor verde amarillento
Características de Plantas / Tamaño: 48 centímetros
Fenología / Flor
Grado de manejo / Protegida
Grado de manejo / Silvestre
Vegetación natural / Bosque o monte","urn:catalog:IBUNAM:MEXU:1047719","1047719","NO APLICA","A. Aedo; P. Faba",1,"NO APLICA","NO APLICA","Herborizado",,,,,"2002-10-18",30/12/1899 10:56:00,"291","291","2002","10","18","Cerca de arroyo","180",60,"MEXICO","MX","JALISCO","HUEJUQUILLA EL ALTO","Alrededores de San Juan Capistrano",1223.00,,,,,"22 39 46.8 N","104 5 6.9 W","grados minutos segundos",22.66,-104.08,,,"","","","Geoposicionador, GPS, ","","",26,"A. Aedo; P. Faba","2002-11-26","","NO APLICA","21200",21200,,,"Melampodium perfoliatum","Melampodium perfoliatum","Melampodium",,"Cronquist, 1981",,"1818","Plantae; Magnoliophyta; Magnoliopsida; Asterales; Asteraceae; Melampodium","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Melampodium","","perfoliatum","","especie","MEXU:191","(Cav.) Kunth, 1818","Tsipurixiya huayeya","Válido",,""
