"datasetID","nombreInstitucion_snib","nombreColeccion_snib","cuerpoAgua_snib","isla_snib","pais_snib","validacionPais_snib","estadoProvincia_snib","validacionEstado_snib","condadoMunicipio_snib","validacionMunicipio_snib","validacionLocalidad_snib","datumGeodesico_snib","nombreCientifico_snib","nombreDeacuerdoCon_snib","nombrePublicadoEnAnio_snib","reino_snib","phylum_snib","clase_snib","orden_snib","familia_snib","genero_snib","subgenero_snib","epitetoespecifico_snib","epitetoinfraespecifico_snib","autoridadNombreCientifico_snib","estatusTaxonomico_snib"
"db28c10684c3759e31260cad7d9f66db","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","NO VALIDO","NO PROCESADO","","Artemisia mexicana","Pruski & Robinson, 2018","1826","Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Artemisia","","mexicana","","Willd. ex Spreng., 1826","sinónimo"
"2503e457ff3ed04314d553ee2a91fff0","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","DEL NAYAR","VALIDO","NO PROCESADO","","Galinsoga quinqueradiata","Villaseñor, Ortiz, Redonda-Martínez & Gual, 2010","1798","Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Galinsoga","","quinqueradiata","","Ruiz & Pav., 1798","sinónimo"
"62d67a11f0189419e35cdb20a0961097","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Artemisia mexicana","Pruski & Robinson, 2018","1826","Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Artemisia","","mexicana","","Willd. ex Spreng., 1826","sinónimo"
"dd43d400c9fd4dd4ba69c084c6ba59fe","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Sonchus oleraceus","Pruski & Robinson, 2018","1753","Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Sonchus","","oleraceus","","L., 1753","aceptado"
"d7c0ac6590681418cd54d9939892fb79","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","DEL NAYAR","VALIDO","NO PROCESADO","","Tagetes lucida","Pruski & Robinson, 2018","1794","Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Tagetes","","lucida","","Cav., 1794","aceptado"
"7fc5e8c2d59db898cc7f4834238bf1b5","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Tagetes patula","Castelo, Ricalde & Panero, 2005","1753","Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Tagetes","","patula","","L., 1753","sinónimo"
"374eec28bfbd6d54cc405908bb0fd5dc","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Tagetes patula","Castelo, Ricalde & Panero, 2005","1753","Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Tagetes","","patula","","L., 1753","sinónimo"
"401c9c18345bd4561ae58a750a96f13f","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","DEL NAYAR","VALIDO","NO PROCESADO","","Tanacetum parthenium","Pruski & Robinson, 2018","1844","Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Tanacetum","","parthenium","","(L.) Sch. Bip., 1844","aceptado"
"8ebc1bc090dcf09b2091462471c42cae","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","DEL NAYAR","VALIDO","NO PROCESADO","","Tanacetum parthenium","Pruski & Robinson, 2018","1844","Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Tanacetum","","parthenium","","(L.) Sch. Bip., 1844","aceptado"
"e1474cfbf64cd8276c1065950ac03bd7","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","ZACATECAS","NO VALIDO","VALPARAISO","NO VALIDO","NO PROCESADO","","Melampodium perfoliatum","Castelo, Ricalde & Panero, 2005","1818","Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Melampodium","","perfoliatum","","(Cav.) Kunth, 1818","aceptado"
