"datasetID","nombreInstitucion_snib","nombreColeccion_snib","cuerpoAgua_snib","isla_snib","pais_snib","validacionPais_snib","estadoProvincia_snib","validacionEstado_snib","condadoMunicipio_snib","validacionMunicipio_snib","validacionLocalidad_snib","datumGeodesico_snib","nombreCientifico_snib","nombreDeacuerdoCon_snib","nombrePublicadoEnAnio_snib","reino_snib","phylum_snib","clase_snib","orden_snib","familia_snib","genero_snib","subgenero_snib","epitetoespecifico_snib","epitetoinfraespecifico_snib","autoridadNombreCientifico_snib","estatusTaxonomico_snib"
"223093e66c780725f6ebff7ed2f72e70","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Calliandra houstoniana","Sousa, Ricker & Hernández, 2003","1922","Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Calliandra","","houstoniana","","(Mill.) Standl., 1922","aceptado"
"9c30e3aa3ba29df48cfc66a28d04635d","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Eugenia capuli","Sánchez-Chávez & Zamudio Ruiz, 2017","1841","Plantae","Tracheophyta","Equisetopsida","Myrtales","Myrtaceae","Eugenia","","capuli","","(Schltdl. & Cham.) Hook. & Arn., 1841","aceptado"
"0b427b4447758581c89e81051dfdb6f5","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Begonia gracilis","Golding & Wasshausen, 2002","1825","Plantae","Tracheophyta","Equisetopsida","Cucurbitales","Begoniaceae","Begonia","","gracilis","","Kunth, 1825","aceptado"
"5ece3423e61d533c0c6edf131403a743","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Urera caracasana","Villaseñor, Ortiz, Redonda-Martínez & Gual, 2010","1859","Plantae","Tracheophyta","Equisetopsida","Rosales","Urticaceae","Urera","","caracasana","","(Jacq.) Gaudich. ex Griseb., 1859","aceptado"
"6cf302588287870d9da5adb125cfb107","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Malaxis salazarii","Soto-Arenas, Hágsater, Jiménez, Salazar, Solano, Flores & Ruiz, 2007","1990","Plantae","Tracheophyta","Equisetopsida","Asparagales","Orchidaceae","Malaxis","","salazarii","","Catling, 1990","sinónimo"
"8da887249875f169069205c1fe325bb8","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"05a0224b0d9d1e2f5d89e195bf3aea05","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"ffcbe218da4ba2a6af13400d931cf766","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"01a699ea22dc96aa2c7efa13baab9a3b","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Belotia mexicana","Villaseñor, Ortiz, Redonda-Martínez & Gual, 2010","1890","Plantae","Tracheophyta","Equisetopsida","Malvales","Malvaceae","Belotia","","mexicana","","(DC.) K. Schum., 1890","sinónimo"
"3da0f7b1f786ea15cb7fa2d25d56a085","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"ee04f3f5e4429100b143c60914c9380f","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"1f9751e08750c7e53da33531790ecc2e","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"ac3fa897eb70892624982bf45fa80131","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Lasianthaea macrocephala","Castelo, Ricalde & Panero, 2005","1979","Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Lasianthaea","","macrocephala","","(Hook. & Arn.) K.M. Becker, 1979","aceptado"
"d2a3762cd71fe45f3c600126ab9a6deb","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"aa15a5bb8855da43558a74c43e31068c","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Cuphea llavea","Graham, 1994","1824","Plantae","Tracheophyta","Equisetopsida","Myrtales","Lythraceae","Cuphea","","llavea","","Lex., 1824","aceptado"
"ecd21d544fbc5ecdcd47eb1a9c17022d","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Cuphea appendiculata var. appendiculata","Graham, 2011","1840","Plantae","Tracheophyta","Equisetopsida","Myrtales","Lythraceae","Cuphea","","appendiculata","appendiculata","Benth., 1840","aceptado"
"4fbd5e1355cfe5e40ed7a4829edbba4e","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"b5c866990ba6d02c71143c5d60347da1","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"e2d75ccfccd760eebd0f51edef3c6834","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"780373c72caaaec2113ca553cbc834be","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"f481e80abf0ca492fc8eedf8302402a6","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"3880cd5ca53a8950f7d89b2d6a990c59","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"346ca4f488a5916d3e5766498c3fabef","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Piptothrix areolaris","Pruski & Robinson, 2018","1970","Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Piptothrix","","areolaris","","(DC.) R.M. King & H. Rob., 1970","aceptado"
"9e62fb37306103e1583ff47165399cc1","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"a1aaac78dd5d5e5200d52072351759aa","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Phytolacca icosandra","Sandoval-Ortega & Siqueiros-Delgado, 2018","1759","Plantae","Tracheophyta","Equisetopsida","Caryophyllales","Phytolaccaceae","Phytolacca","","icosandra","","L., 1759","aceptado"
"33fb4e441be112bb9eb52093fdf89061","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Physalis pubescens","Martínez, Montero, Dean, Bye, Luna-Cavazos, Medina & Rzedowski, 2020","1753","Plantae","Tracheophyta","Equisetopsida","Solanales","Solanaceae","Physalis","Rydbergis","pubescens","","L., 1753","aceptado"
"b90188dbd13159c76316f327e34686c1","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"1a45b2b51d7c52bd2595ea6e8ec768b8","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"400eafe084adf302f2c96644d9bc1ebe","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Salvia lavanduloides","Martínez-Gordillo, Bedolla-García, Cornejo-Tenorio, Fragoso-Martínez, García-Peña, González-Gallegos, Lara-Cabrera & Zamudio, 2017","1818","Plantae","Tracheophyta","Equisetopsida","Lamiales","Lamiaceae","Salvia","","lavanduloides","","Kunth, 1818","aceptado"
"720d9476a52acaa3ada33dfee9d063ba","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","APG IV, 2016","","Plantae","Tracheophyta","Equisetopsida","Lamiales","Verbenaceae","","","","","",""
"a372bc95a147c1cf4eb94446252f321a","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Acalypha langiana","Martínez-Gordillo, Jiménez-Ramírez, Cruz-Durán, Juárez-Arriaga, García, Cervantes & Mejía-Hernández, 2002","1865","Plantae","Tracheophyta","Equisetopsida","Malpighiales","Euphorbiaceae","Acalypha","","langiana","","Müll. Arg., 1865","aceptado"
"6bf35bc5c6b15f2b1d9537a08e9726b3","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"877b5586846f14bf9206fa581e211bb9","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"12bb17d1d3f7c978e1b4e0fead751c43","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"c0abed97bed32a0128d23950a16948c2","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Tephrosia langlassei","Téllez-Valdés, 2009","1903","Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Tephrosia","","langlassei","","Micheli, 1903","aceptado"
"b79c97d2696d32c6bd2118443912287d","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"053a59601ac3ae731d8cd28bc241ab14","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"49d432175b400837df9047e9f7e203fd","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"087960af0a9d508234610dcb6b46de89","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"4c8949a86f230aceb35888e284f2f32d","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","Salvia thyrsiflora","Martínez-Gordillo, Bedolla-García, Cornejo-Tenorio, Fragoso-Martínez, García-Peña, González-Gallegos, Lara-Cabrera & Zamudio, 2017","1846","Plantae","Tracheophyta","Equisetopsida","Lamiales","Lamiaceae","Salvia","","thyrsiflora","","Benth., 1846","aceptado"
"140c1ea95169ba317674c9fe7ad2e445","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
"7d9935fbf308cfd1d0b55898215be128","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","",,,,,,,,"","","","","","","","","","","","","","",
