"type","modified","language","rightsHolder","accessRights","bibliographicCitation","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","dynamicProperties","occurrenceID","catalogNumber","occurrenceRemarks","recordedBy","individualCount","sex","lifeStage","preparations","previousIdentifications","associatedReferences","associatedTaxa","samplingProtocol","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","habitat","fieldNumber","locationID","country","countryCode","stateProvince","county","locality","minimumElevationInMeters","maximumElevationInMeters","verbatimDepth","minimumDepthInMeters","maximumDepthInMeters","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","identificationID","identifiedBy","dateIdentified","identificationQualifier","typeStatus","taxonID","scientificNameID","acceptedNameUsageID","originalNameUsageID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","globalUniqueIdentifier","scientificNameAuthorship","vernacularName","taxonomicStatus","nomenclaturalStatus","notes"
"Evento",08/11/2001 00:00:00,"es","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","Libre acceso","Valdez-Hernández J. I. 2002. Flora vascular de los manglares de Marismas Nacionales, estado de Nayarit. Instituto de Recursos Naturales. Colegio de Postgraduados. Bases de datos SNIB-CONABIO, proyecto S131. México, D. F.",259,595,"a6c133a9f3758775ed810e0006a0e2ee","IIZD-UASLP","SLPM","Flora vascular de los manglares de Marismas Nacionales, estado de Nayarit","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Colectado","TipoVegetacion / Manglar - Tipo Vegetacion - Miranda y Hernández X.
Características de Plantas / Tamaño: 2 m de altura
Distrito de Riego: NO DISPONIBLE
Forma de crecimiento / Hierba: Helecho
Otros Datos Ejemplar / Abundancia: 5 %","urn:catalog:IIZD-UASLP:SLPM:SLPM","SLPM","Presenta hojas de hasta 1.7 m de longitud y 50 cm de ancho","J. Ignacio Valdez H.",7,"NO DISPONIBLE","NO DISPONIBLE","Deshidratado",,"P.B. Tomlinson. 9999. The botany of mangroves, 1986. pp. 312-314. Tésis de No Aplica. Cambridge University Press. New York, USA.",,,"1999-06-24",,"175",,"1999","6","24","Dunas de antiguas líneas de playa con escasa inundación mareal
Manglar de Avicennia-Laguncularia","61",2,"MEXICO","MX","NAYARIT","SAN BLAS","""El Ceboruco"", cerca de 50 m al W del km 5 de la carret. San Blas-Matanchén",0.00,0.00,,,,"21 31 47.8 N","105 15 5.3 W","grados minutos segundos",21.52,-105.25,,80.00,"","","","Geoposicionador, 15-100 m","","",1,"J. Ignacio Valdez H.","1999-11-24","","NO APLICA","20706",20706,,,"Acrostichum aureum","Acrostichum aureum","Acrostichum",,"Cronquist, 1981",,"","Plantae; Polypodiophyta; Polypodiopsida; Polypodiales; Pteridaceae; Acrostichum","Plantae","Polypodiophyta","Polypodiopsida","Polypodiales","Pteridaceae","Acrostichum","","aureum","","especie","SLPM:1","Linnaeus","Palmilla","Válido",,""
"Evento",08/11/2001 00:00:00,"es","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","Libre acceso","Valdez-Hernández J. I. 2002. Flora vascular de los manglares de Marismas Nacionales, estado de Nayarit. Instituto de Recursos Naturales. Colegio de Postgraduados. Bases de datos SNIB-CONABIO, proyecto S131. México, D. F.",259,595,"9f276742820957b4f2231a942943f89e","IIZD-UASLP","SLPM","Flora vascular de los manglares de Marismas Nacionales, estado de Nayarit","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Colectado","TipoVegetacion / Manglar - Tipo Vegetacion - Miranda y Hernández X.
Características de Plantas / ColorFruto: verdes cuando tiernos y amarillos al madurar
Características de Plantas / DescripcionFruto: ovoides, de 1.5 a 3 cm de largo
Características de Plantas / Tamaño: Planta de 1 a 1.3 m de altura
Distrito de Riego: NO DISPONIBLE
Forma de crecimiento / Arbusto
Forma de hoja / Esclerófila: Bordes con prolongaciones (""espinas"") de 5 a 9 mm
Hábito / Arrosetada
Otros Datos Ejemplar / Abundancia: 25-50 %","urn:catalog:IIZD-UASLP:SLPM:SLPM","SLPM","En fructificación; bracteas rojizas de hasta 40 cm de longitud rodeando los frutos","J. Ignacio Valdez H.",4,"NO DISPONIBLE","NO DISPONIBLE","Deshidratado",,,,,"1999-06-24",,"175",,"1999","6","24","Dunas de antiguas líneas de playa con escasa inundación mareal
Manglar de Avicennia-Laguncularia","64",2,"MEXICO","MX","NAYARIT","SAN BLAS","""El Ceboruco"", cerca de 50 m al W del km 5 de la carret. San Blas-Matanchén",0.00,1.00,,,,"21 31 51.9 N","105 14 55.6 W","grados minutos segundos",21.53,-105.24,,80.00,"","","","Geoposicionador, 15-100 m","","",3,"J. Ignacio Valdez H.","1999-11-24","","NO APLICA","20707",20707,,,"Bromelia pinguin","Bromelia pinguin","Bromelia",,"Cronquist, 1981",,"","Plantae; Magnoliophyta; Liliopsida; Bromeliales; Bromeliaceae; Bromelia","Plantae","Magnoliophyta","Liliopsida","Bromeliales","Bromeliaceae","Bromelia","","pinguin","","especie","SLPM:3","Linnaeus","Guámara; Guamaral","Válido",,""
"Evento",08/11/2001 00:00:00,"es","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","Libre acceso","Valdez-Hernández J. I. 2002. Flora vascular de los manglares de Marismas Nacionales, estado de Nayarit. Instituto de Recursos Naturales. Colegio de Postgraduados. Bases de datos SNIB-CONABIO, proyecto S131. México, D. F.",259,595,"d7ca9af870c75f3906151c93889b2140","IIZD-UASLP","SLPM","Flora vascular de los manglares de Marismas Nacionales, estado de Nayarit","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Colectado","TipoVegetacion / Manglar - Tipo Vegetacion - Miranda y Hernández X.
Características de Plantas / ColorFruto: verdes cuando tiernos y amarillos al madurar
Características de Plantas / DescripcionFruto: ovoides, 2-3 cm de largo y 1.5-2 cm de diámetro
Características de Plantas / Tamaño: Planta de 1.5 a 1.8 m de altura
Distrito de Riego: NO DISPONIBLE
Forma de crecimiento / Arbusto
Forma de hoja / Esclerófila: Bordes con prolongaciones (""espinas"") de 6 a 9 mm
Hábito / Arrosetada
Otros Datos Ejemplar / Abundancia: 5-25 %","urn:catalog:IIZD-UASLP:SLPM:SLPM","SLPM","En fructificación, con los frutos dispuestos en infrutescencias de 30 a 40 cm de largo","J. Ignacio Valdez H.; José García P.",6,"NO DISPONIBLE","NO DISPONIBLE","Deshidratado",,,,,"1999-08-16",,"228",,"1999","8","16","Dunas de antiguas líneas de playa con escasa inundación mareal
Manglar de Conocarpus-Avicennia","76",4,"MEXICO","MX","NAYARIT","SANTIAGO IXCUINTLA","""La Loma de los Teacapeños"", cerca de 30 m al NEdel km 5 de la carret. Santa Cruz-Puerta de Palapares",0.00,1.00,,,,"22 1 31.3 N","105 36 49.6 W","grados minutos segundos",22.02,-105.61,,80.00,"","","","Geoposicionador, 15-100 m","","",4,"J. Ignacio Valdez H.; José García P.","1999-11-24","","NO APLICA","20707",20707,,,"Bromelia pinguin","Bromelia pinguin","Bromelia",,"Cronquist, 1981",,"","Plantae; Magnoliophyta; Liliopsida; Bromeliales; Bromeliaceae; Bromelia","Plantae","Magnoliophyta","Liliopsida","Bromeliales","Bromeliaceae","Bromelia","","pinguin","","especie","SLPM:4","Linnaeus","Guámara; Guamaral","Válido",,""
"Evento",08/11/2001 00:00:00,"es","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","Libre acceso","Valdez-Hernández J. I. 2002. Flora vascular de los manglares de Marismas Nacionales, estado de Nayarit. Instituto de Recursos Naturales. Colegio de Postgraduados. Bases de datos SNIB-CONABIO, proyecto S131. México, D. F.",259,595,"6cb513212d4035564f76399f890ae947","IIZD-UASLP","SLPM","Flora vascular de los manglares de Marismas Nacionales, estado de Nayarit","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Colectado","TipoVegetacion / Manglar - Tipo Vegetacion - Miranda y Hernández X.
Características de Plantas / ColorFruto: verdes cuando tiernos y amarillos al madurar
Características de Plantas / DescripcionFruto: ovoides, de 2 a 3 cm de largo
Características de Plantas / Tamaño: Planta de 1 m de altura
Distrito de Riego: NO DISPONIBLE
Forma de crecimiento / Arbusto
Forma de hoja / Esclerófila: Bordes con prolongaciones (""espinas"") de 6 a 9 mm
Hábito / Arrosetada
Otros Datos Ejemplar / Abundancia: 5-25 %","urn:catalog:IIZD-UASLP:SLPM:SLPM","SLPM","En fructificación, con los frutos dispuestos en infrutescencias de 25 a 30 cm de largo","J. Ignacio Valdez H.",7,"NO DISPONIBLE","NO DISPONIBLE","Deshidratado",,,,,"1999-09-24",,"267",,"1999","9","24","Cordones de antiguos márgenes de río con escasa inundación mareal
Manglar de Avicennia-Conocarpus","100",16,"MEXICO","MX","NAYARIT","TECUALA","""La Loma de Las Bacocas"", cerca de 9.5 km al NW del poblado Antonio R. Laureles",0.00,1.00,,,,"22 13 17.9 N","105 25 34.4 W","grados minutos segundos",22.22,-105.42,,80.00,"","","","Geoposicionador, 15-100 m","","",5,"J. Ignacio Valdez H.","1999-11-24","","NO APLICA","20707",20707,,,"Bromelia pinguin","Bromelia pinguin","Bromelia",,"Cronquist, 1981",,"","Plantae; Magnoliophyta; Liliopsida; Bromeliales; Bromeliaceae; Bromelia","Plantae","Magnoliophyta","Liliopsida","Bromeliales","Bromeliaceae","Bromelia","","pinguin","","especie","SLPM:5","Linnaeus","Guámara; Guamaral","Válido",,""
"Evento",08/11/2001 00:00:00,"es","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","Libre acceso","Valdez-Hernández J. I. 2002. Flora vascular de los manglares de Marismas Nacionales, estado de Nayarit. Instituto de Recursos Naturales. Colegio de Postgraduados. Bases de datos SNIB-CONABIO, proyecto S131. México, D. F.",259,595,"96c98a2db1b0ecc74a367c3df6828b93","IIZD-UASLP","SLPM","Flora vascular de los manglares de Marismas Nacionales, estado de Nayarit","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Colectado","TipoVegetacion / Manglar - Tipo Vegetacion - Miranda y Hernández X.
Características de Plantas / ColorFruto: verde amarillento
Características de Plantas / DescripcionFruto: alargados, de 6 a 10 mm de largo y 4 mm de ancho
Características de Plantas / Tamaño: Planta de 40 cm de altura
Distrito de Riego: NO DISPONIBLE
Forma de crecimiento / Hierba
Otros Datos Ejemplar / Abundancia: 5-25 %
Posición del tallo / Erecto","urn:catalog:IIZD-UASLP:SLPM:SLPM","SLPM","Crece en el estrato inferior del manglar en lugares con buena iluminación","J. Ignacio Valdez H.",5,"NO DISPONIBLE","NO DISPONIBLE","Deshidratado",," P.B. Tomlinson. 9999. The botany of mangroves, 1986. pp. 207. Tésis de No Aplica. Cambridge University Press. New York, USA.",,,"1999-06-24",,"175",,"1999","6","24","Dunas de antiguas líneas de playa con inundación mareal intermedia
Manglar de Avicennia-Laguncularia","65",2,"MEXICO","MX","NAYARIT","SAN BLAS","""El Ceboruco"", cerca de 50 m al W del km 5 de la carret. San Blas-Matanchén",0.00,1.00,,,,"21 31 51.9 N","105 14 55.6 W","grados minutos segundos",21.53,-105.24,,80.00,"","","","Geoposicionador, 15-100 m","","",6,"J. Ignacio Valdez H.","1999-11-24","","NO APLICA","20711",20711,,,"Batis maritima","Batis maritima","Batis",,"Cronquist, 1981",,"","Plantae; Magnoliophyta; Magnoliopsida; Batales; Bataceae; Batis","Plantae","Magnoliophyta","Magnoliopsida","Batales","Bataceae","Batis","","maritima","","especie","SLPM:6","Linnaeus","Vidrillo","Válido",,""
"Evento",08/11/2001 00:00:00,"es","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","Libre acceso","Valdez-Hernández J. I. 2002. Flora vascular de los manglares de Marismas Nacionales, estado de Nayarit. Instituto de Recursos Naturales. Colegio de Postgraduados. Bases de datos SNIB-CONABIO, proyecto S131. México, D. F.",259,595,"f5eea4e882df0e344e90879c1ca1c72b","IIZD-UASLP","SLPM","Flora vascular de los manglares de Marismas Nacionales, estado de Nayarit","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Colectado","TipoVegetacion / Manglar - Tipo Vegetacion - Miranda y Hernández X.
Características de Plantas / ColorFruto: verde
Características de Plantas / DescripcionFruto: de 1 a 1.5 cm de longitud
Características de Plantas / Tamaño: Planta de 40 cm de altura
Distrito de Riego: NO DISPONIBLE
Forma de crecimiento / Hierba
Otros Datos Ejemplar / Abundancia: 25-50 %
Posición del tallo / Erecto","urn:catalog:IIZD-UASLP:SLPM:SLPM","SLPM","Presenta hojas lineares suculentas de hasta 10 mm de largo y 4 mm de ancho","J. Ignacio Valdez H.; José García P.",8,"NO DISPONIBLE","NO DISPONIBLE","Deshidratado",," P.B. Tomlinson. 9999. The botany of mangroves, 1986. pp. 207. Tésis de No Aplica. Cambridge University Press. New York, USA.",,,"1999-08-16",,"228",,"1999","8","16","Marisma con inundación mareal intermedia
Manglar de Conocarpus-Avicennia","68",4,"MEXICO","MX","NAYARIT","SANTIAGO IXCUINTLA","""La Loma de los Teacapeños"", cerca de 30 m al NEdel km 5 de la carret. Santa Cruz-Puerta de Palapares",0.00,1.00,,,,"22 1 31.3 N","105 36 49.6 W","grados minutos segundos",22.02,-105.61,,80.00,"","","","Geoposicionador, 15-100 m","","",7,"J. Ignacio Valdez H.; José García P.","1999-11-24","","NO APLICA","20711",20711,,,"Batis maritima","Batis maritima","Batis",,"Cronquist, 1981",,"","Plantae; Magnoliophyta; Magnoliopsida; Batales; Bataceae; Batis","Plantae","Magnoliophyta","Magnoliopsida","Batales","Bataceae","Batis","","maritima","","especie","SLPM:7","Linnaeus","Vidrillo","Válido",,""
"Evento",08/11/2001 00:00:00,"es","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","Libre acceso","Valdez-Hernández J. I. 2002. Flora vascular de los manglares de Marismas Nacionales, estado de Nayarit. Instituto de Recursos Naturales. Colegio de Postgraduados. Bases de datos SNIB-CONABIO, proyecto S131. México, D. F.",259,595,"bf7c6bac35939fbb35f5b709787893ad","IIZD-UASLP","SLPM","Flora vascular de los manglares de Marismas Nacionales, estado de Nayarit","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Colectado","TipoVegetacion / Manglar - Tipo Vegetacion - Miranda y Hernández X.
Características de Plantas / ColorFlor: verde amarillento
Características de Plantas / ColorFruto: verdes cuando tiernos y café obscuros al madurar
Características de Plantas / Tamaño: Planta de 5 m de altura
Distrito de Riego: NO DISPONIBLE
Forma de crecimiento / Arbol
Otros Datos Ejemplar / Abundancia: 25-50 %
Posición del tallo / Erecto","urn:catalog:IIZD-UASLP:SLPM:SLPM","SLPM","En floración y fructificación","J. Ignacio Valdez H.",1,"NO DISPONIBLE","NO DISPONIBLE","Deshidratado",," T.D. Pennington & J. Sarukhán. 9999. Manual para la identificación de campo de los principales árboles tropicales de México, 1968. pp. 320. Tésis de No Aplica. INIF/FAO. México, D.F.",,,"1999-06-25",,"176",,"1999","6","25","Dunas de antiguas líneas de playa con escasa inundación mareal
Manglar de Laguncularia-Conocarpus","67",3,"MEXICO","MX","NAYARIT","SAN BLAS","""Carboneras Chicas"", aprox. 900 m al SE del km 1 de la carret. San Blas-Tepic",0.00,1.00,,,,"21 32 9.7 N","105 15 35.3 W","grados minutos segundos",21.53,-105.25,,80.00,"","","","Geoposicionador, 15-100 m","","",9,"J. Ignacio Valdez H.","1999-11-24","","NO APLICA","20713",20713,,,"Conocarpus erectus","Conocarpus erectus","Conocarpus",,"Cronquist, 1981",,"","Plantae; Magnoliophyta; Magnoliopsida; Myrtales; Combretaceae; Conocarpus","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Combretaceae","Conocarpus","","erectus","","especie","SLPM:9","Linnaeus","Botoncahue; Botoncahue de hoja vidriosa; Mangle Chino","Válido",,""
"Evento",08/11/2001 00:00:00,"es","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","Libre acceso","Valdez-Hernández J. I. 2002. Flora vascular de los manglares de Marismas Nacionales, estado de Nayarit. Instituto de Recursos Naturales. Colegio de Postgraduados. Bases de datos SNIB-CONABIO, proyecto S131. México, D. F.",259,595,"3b125a4f92579923283c6ab64b2f2b48","IIZD-UASLP","SLPM","Flora vascular de los manglares de Marismas Nacionales, estado de Nayarit","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Colectado","TipoVegetacion / Manglar - Tipo Vegetacion - Miranda y Hernández X.
Características de Plantas / ColorFlor: amarillas
Características de Plantas / DescripcionFlor: en cabezuelas globosas de 6 a 9 mm de diámetro
Características de Plantas / Tamaño: Planta de 4 m de altura y 10 cm de diámetro
Distrito de Riego: NO DISPONIBLE
Forma de crecimiento / Arbol
Otros Datos Ejemplar / Abundancia: 5-25 %
Posición del tallo / Erecto","urn:catalog:IIZD-UASLP:SLPM:SLPM","SLPM","En floración","J. Ignacio Valdez H.; José García P.",5,"NO DISPONIBLE","NO DISPONIBLE","Deshidratado",," T.D. Pennington & J. Sarukhán. 9999. Manual para la identificación de campo de los principales árboles tropicales de México, 1968. pp. 320. Tésis de No Aplica. INIF/FAO. México, D.F.",,,"1999-08-16",,"228",,"1999","8","16","Dunas de antiguas líneas de playa con escasa inundación mareal
Manglar de Conocarpus-Avicennia","79",4,"MEXICO","MX","NAYARIT","SANTIAGO IXCUINTLA","""La Loma de los Teacapeños"", cerca de 30 m al NEdel km 5 de la carret. Santa Cruz-Puerta de Palapares",0.00,1.00,,,,"22 1 31.3 N","105 36 49.6 W","grados minutos segundos",22.02,-105.61,,80.00,"","","","Geoposicionador, 15-100 m","","",10,"J. Ignacio Valdez H.; José García P.","1999-11-24","","NO APLICA","20713",20713,,,"Conocarpus erectus","Conocarpus erectus","Conocarpus",,"Cronquist, 1981",,"","Plantae; Magnoliophyta; Magnoliopsida; Myrtales; Combretaceae; Conocarpus","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Combretaceae","Conocarpus","","erectus","","especie","SLPM:10","Linnaeus","Botoncahue; Botoncahue de hoja vidriosa; Mangle Chino","Válido",,""
"Evento",08/11/2001 00:00:00,"es","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","Libre acceso","Valdez-Hernández J. I. 2002. Flora vascular de los manglares de Marismas Nacionales, estado de Nayarit. Instituto de Recursos Naturales. Colegio de Postgraduados. Bases de datos SNIB-CONABIO, proyecto S131. México, D. F.",259,595,"e96784d766952d53e637d543dced7dfe","IIZD-UASLP","SLPM","Flora vascular de los manglares de Marismas Nacionales, estado de Nayarit","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Colectado","TipoVegetacion / Manglar - Tipo Vegetacion - Miranda y Hernández X.
Características de Plantas / ColorFruto: verdes cuando tiernos y café obscuros al madurar
Características de Plantas / DescripcionFruto: en infrutescencias de 1 cm de diámetro
Características de Plantas / Tamaño: Planta de 6 m de altura y 15 cm de diámetro
Distrito de Riego: NO DISPONIBLE
Forma de crecimiento / Arbol
Otros Datos Ejemplar / Abundancia: 25-50 %
Posición del tallo / Erecto","urn:catalog:IIZD-UASLP:SLPM:SLPM","SLPM","En fructificación","J. Ignacio Valdez H.",10,"NO DISPONIBLE","NO DISPONIBLE","Deshidratado",," T.D. Pennington & J. Sarukhán. 9999. Manual para la identificación de campo de los principales árboles tropicales de México, 1968. pp. 320. Tésis de No Aplica. INIF/FAO. México, D.F.",,,"1999-09-24",,"267",,"1999","9","24","Cordones de antiguos márgenes de río con escasa inundación mareal
Manglar de Avicennia-Conocarpus","108",16,"MEXICO","MX","NAYARIT","TECUALA","""La Loma de Las Bacocas"", cerca de 9.5 km al NW del poblado Antonio R. Laureles",0.00,1.00,,,,"22 13 17.9 N","105 25 34.4 W","grados minutos segundos",22.22,-105.42,,80.00,"","","","Geoposicionador, 15-100 m","","",11,"J. Ignacio Valdez H.","1999-11-24","","NO APLICA","20713",20713,,,"Conocarpus erectus","Conocarpus erectus","Conocarpus",,"Cronquist, 1981",,"","Plantae; Magnoliophyta; Magnoliopsida; Myrtales; Combretaceae; Conocarpus","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Combretaceae","Conocarpus","","erectus","","especie","SLPM:11","Linnaeus","Botoncahue; Botoncahue de hoja vidriosa; Mangle Chino","Válido",,""
"Evento",08/11/2001 00:00:00,"es","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","Libre acceso","Valdez-Hernández J. I. 2002. Flora vascular de los manglares de Marismas Nacionales, estado de Nayarit. Instituto de Recursos Naturales. Colegio de Postgraduados. Bases de datos SNIB-CONABIO, proyecto S131. México, D. F.",259,595,"fd16bdea7b5cfd8e31092c148e813bff","IIZD-UASLP","SLPM","Flora vascular de los manglares de Marismas Nacionales, estado de Nayarit","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Colectado","TipoVegetacion / Manglar - Tipo Vegetacion - Miranda y Hernández X.
Características de Plantas / ColorFruto: verde amarillento
Características de Plantas / DescripcionFruto: en infrutescencias de 9 mm de diámetro
Características de Plantas / Tamaño: Planta de 3.5 m de altura y 5 cm de diámetro
Distrito de Riego: NO DISPONIBLE
Forma de crecimiento / Arbol
Forma de hoja / Latifolia: glabras
Otros Datos Ejemplar / Abundancia: 25-50 %
Posición del tallo / Erecto","urn:catalog:IIZD-UASLP:SLPM:SLPM","SLPM","En fructificación","J. Ignacio Valdez H.",6,"NO DISPONIBLE","NO DISPONIBLE","Deshidratado",," T.D. Pennington & J. Sarukhán. 9999. Manual para la identificación de campo de los principales árboles tropicales de México, 1968. pp.320. Tésis de No Aplica. INIF/FAO. México, D.F.",,,"1999-10-26",,"299",,"1999","10","26","Barra de estuario con inundación mareal intermedia
Manglar de Conocarpus-Avicennia","122",19,"MEXICO","MX","NAYARIT","TECUALA","""Las Playas del Rincón"", cerca de 6.5 km al N del Poblado El Roblito",0.00,1.00,,,,"22 33 19.9 N","105 40 41.2 W","grados minutos segundos",22.55,-105.67,,80.00,"","","","Geoposicionador, 15-100 m","","",12,"J. Ignacio Valdez H.","1999-11-24","","NO APLICA","20713",20713,,,"Conocarpus erectus","Conocarpus erectus","Conocarpus",,"Cronquist, 1981",,"","Plantae; Magnoliophyta; Magnoliopsida; Myrtales; Combretaceae; Conocarpus","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Combretaceae","Conocarpus","","erectus","","especie","SLPM:12","Linnaeus","Botoncahue; Botoncahue de hoja vidriosa; Mangle Chino","Válido",,""
