"datasetID","nombreInstitucion_snib","nombreColeccion_snib","cuerpoAgua_snib","isla_snib","pais_snib","validacionPais_snib","estadoProvincia_snib","validacionEstado_snib","condadoMunicipio_snib","validacionMunicipio_snib","validacionLocalidad_snib","datumGeodesico_snib","nombreCientifico_snib","nombreDeacuerdoCon_snib","nombrePublicadoEnAnio_snib","reino_snib","phylum_snib","clase_snib","orden_snib","familia_snib","genero_snib","subgenero_snib","epitetoespecifico_snib","epitetoinfraespecifico_snib","autoridadNombreCientifico_snib","estatusTaxonomico_snib"
"a6c133a9f3758775ed810e0006a0e2ee","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","Acrostichum aureum","Velázquez Montes, 2018","1753","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Acrostichum","","aureum","","L., 1753","aceptado"
"9f276742820957b4f2231a942943f89e","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","Bromelia pinguin","Espejo-Serna & López-Ferrari, 2018","1753","Plantae","Tracheophyta","Equisetopsida","Poales","Bromeliaceae","Bromelia","","pinguin","","L., 1753","aceptado"
"d7ca9af870c75f3906151c93889b2140","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SANTIAGO IXCUINTLA","VALIDO","NO PROCESADO","","Bromelia pinguin","Espejo-Serna & López-Ferrari, 2018","1753","Plantae","Tracheophyta","Equisetopsida","Poales","Bromeliaceae","Bromelia","","pinguin","","L., 1753","aceptado"
"6cb513212d4035564f76399f890ae947","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","TECUALA","VALIDO","NO PROCESADO","","Bromelia pinguin","Espejo-Serna & López-Ferrari, 2018","1753","Plantae","Tracheophyta","Equisetopsida","Poales","Bromeliaceae","Bromelia","","pinguin","","L., 1753","aceptado"
"96c98a2db1b0ecc74a367c3df6828b93","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","Batis maritima","Carnevali, Tapia-Muñoz, Duno de Stefano & Ramírez Morillo, 2010","1759","Plantae","Tracheophyta","Equisetopsida","Brassicales","Bataceae","Batis","","maritima","","L., 1759","aceptado"
"f5eea4e882df0e344e90879c1ca1c72b","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SANTIAGO IXCUINTLA","VALIDO","NO PROCESADO","","Batis maritima","Carnevali, Tapia-Muñoz, Duno de Stefano & Ramírez Morillo, 2010","1759","Plantae","Tracheophyta","Equisetopsida","Brassicales","Bataceae","Batis","","maritima","","L., 1759","aceptado"
"bf7c6bac35939fbb35f5b709787893ad","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","Conocarpus erectus","Stace, 2010","1753","Plantae","Tracheophyta","Equisetopsida","Myrtales","Combretaceae","Conocarpus","","erectus","","L., 1753","aceptado"
"3b125a4f92579923283c6ab64b2f2b48","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SANTIAGO IXCUINTLA","VALIDO","NO PROCESADO","","Conocarpus erectus","Stace, 2010","1753","Plantae","Tracheophyta","Equisetopsida","Myrtales","Combretaceae","Conocarpus","","erectus","","L., 1753","aceptado"
"e96784d766952d53e637d543dced7dfe","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","TECUALA","VALIDO","NO PROCESADO","","Conocarpus erectus","Stace, 2010","1753","Plantae","Tracheophyta","Equisetopsida","Myrtales","Combretaceae","Conocarpus","","erectus","","L., 1753","aceptado"
"fd16bdea7b5cfd8e31092c148e813bff","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","GOLFO DE CALIFORNIA","PANALES; ESTERO AGUA BRAVA","MEXICO","VALIDO","NAYARIT","VALIDO","TECUALA","VALIDO","NO PROCESADO","","Conocarpus erectus","Stace, 2010","1753","Plantae","Tracheophyta","Equisetopsida","Myrtales","Combretaceae","Conocarpus","","erectus","","L., 1753","aceptado"
